 3822.9629     52.9393      4.1296 
 3823.8423     52.8226      4.1581 
 3824.7241     57.4715      4.1922 
 3825.6040     53.0813      4.1472 
 3826.4841     55.7612      4.2112 
 3827.3665     53.5545      4.1810 
 3828.2468     54.1302      4.1885 
 3829.1296     49.6055      4.1451 
 3830.0105     34.7178      3.8762 
 3830.8938     26.3559      3.7010 
 3831.7751     34.6847      3.7567 
 3832.6565     45.0347      3.8995 
 3833.5403     46.5068      3.9141 
 3834.4224     52.6604      3.9691 
 3835.3064     49.4370      3.8752 
 3836.1887     46.7312      3.8212 
 3837.0735     37.2474      3.7012 
 3837.9561     39.2844      3.7148 
 3838.8391     47.2543      3.8208 
 3839.7244     48.0838      3.8629 
 3840.6077     48.0391      3.8552 
 3841.4932     53.7771      3.9519 
 3842.3770     56.0540      3.9863 
 3843.2629     55.1549      3.9513 
 3844.1472     50.7108      3.8682 
 3845.0315     53.0210      3.8800 
 3845.9182     50.1077      3.8692 
 3846.8030     61.0436      4.0618 
 3847.6899     54.9200      3.9385 
 3848.5752     51.1949      3.8835 
 3849.4626     54.6728      3.8690 
 3850.3481     54.6270      3.7850 
 3851.2339     59.9085      3.8625 
 3852.1221     48.9845      3.6856 
 3853.0083     47.2912      3.6513 
 3853.8967     44.5154      3.6052 
 3854.7832     49.0213      3.6662 
 3855.6721     50.9477      3.6785 
 3856.5591     46.0412      3.6331 
 3857.4463     41.0992      3.5496 
 3858.3359     44.6611      3.5597 
 3859.2234     48.9792      3.6032 
 3860.1135     46.0145      3.5141 
 3861.0015     48.1709      3.4813 
 3861.8918     42.7164      3.4269 
 3862.7803     47.2885      3.5194 
 3863.6687     45.7552      3.5016 
 3864.5598     44.9144      3.4915 
 3865.4487     40.2746      3.3830 
 3866.3401     43.2324      3.4200 
 3867.2297     41.2813      3.3715 
 3868.1213     33.4148      3.2756 
 3869.0112     34.8362      3.2619 
 3869.9014     33.3629      3.2260 
 3870.7937     32.1299      3.1436 
 3871.6841     26.3050      3.0260 
 3872.5769     23.4642      2.9528 
 3873.4678     31.2197      3.1053 
 3874.3611     35.8025      3.1549 
 3875.2524     35.6115      3.1806 
 3876.1438     38.9892      3.2223 
 3877.0376     35.8891      3.1566 
 3877.9297     26.8403      3.0373 
 3878.8237     33.1634      3.1034 
 3879.7161     29.4371      3.0920 
 3880.6108     35.2047      3.0803 
 3881.5037     35.5168      3.1130 
 3882.3965     41.0965      3.1482 
 3883.2917     41.1592      3.1753 
 3884.1851     34.1474      3.1057 
 3885.0808     32.2649      3.0470 
 3885.9746     32.8759      3.1606 
 3886.8706     31.0820      3.1997 
 3887.7649     34.2431      3.3174 
 3888.6592     40.3417      3.4814 
 3889.5559     46.5901      3.5835 
 3890.4507     34.3575      3.3921 
 3891.3479     37.5200      3.3563 
 3892.2429     34.8846      3.1629 
 3893.1406     30.9582      3.0318 
 3894.0361     32.4107      3.0025 
 3894.9341     33.7509      3.0330 
 3895.8301     34.4939      3.0622 
 3896.7263     36.5152      3.1279 
 3897.6250     32.9283      3.0841 
 3898.5215     33.5085      3.1461 
 3899.4207     38.9779      3.2730 
 3900.3176     37.5137      3.3024 
 3901.2170     37.4320      3.2830 
 3902.1145     46.0986      3.3804 
 3903.0122     43.4353      3.3390 
 3903.9121     33.2939      3.1511 
 3904.8103     27.9563      3.0776 
 3905.7107     25.7598      2.9807 
 3906.6094     20.6927      2.8781 
 3907.5100     11.7173      2.6878 
 3908.4089      5.9139      2.5662 
